"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			1427	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2021 (provisional)"	"2021/01"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2021 (provisional)"	"2021/02"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2021 (provisional)"	"2021/03"	40	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2021 (provisional)"	"2021/04"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021 (provisional)"	"2021/05"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021 (provisional)"	"2021/06"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2021 (provisional)"	"2021/07"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021 (provisional)"	"2021/08"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2021 (provisional)"	"2021/09"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"			261	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2021 (provisional)"	"2021/01"	628	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2021 (provisional)"	"2021/02"	504	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2021 (provisional)"	"2021/03"	591	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2021 (provisional)"	"2021/04"	618	Not Applicable	Not Applicable
	"California"	"06"	"May, 2021 (provisional)"	"2021/05"	590	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2021 (provisional)"	"2021/06"	595	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2021 (provisional)"	"2021/07"	587	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2021 (provisional)"	"2021/08"	587	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2021 (provisional)"	"2021/09"	67	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"California"	"06"			4767	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2021 (provisional)"	"2021/01"	109	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2021 (provisional)"	"2021/02"	79	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2021 (provisional)"	"2021/03"	117	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2021 (provisional)"	"2021/04"	108	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2021 (provisional)"	"2021/05"	119	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2021 (provisional)"	"2021/06"	122	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2021 (provisional)"	"2021/07"	121	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2021 (provisional)"	"2021/08"	145	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2021 (provisional)"	"2021/09"	18	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"			938	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jan., 2021 (provisional)"	"2021/01"	106	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Feb., 2021 (provisional)"	"2021/02"	107	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Mar., 2021 (provisional)"	"2021/03"	107	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Apr., 2021 (provisional)"	"2021/04"	112	Not Applicable	Not Applicable
	"Connecticut"	"09"	"May, 2021 (provisional)"	"2021/05"	121	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jun., 2021 (provisional)"	"2021/06"	115	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jul., 2021 (provisional)"	"2021/07"	130	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Aug., 2021 (provisional)"	"2021/08"	132	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Sep., 2021 (provisional)"	"2021/09"	18	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"			948	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jan., 2021 (provisional)"	"2021/01"	40	Not Applicable	Not Applicable
	"Delaware"	"10"	"Feb., 2021 (provisional)"	"2021/02"	41	Not Applicable	Not Applicable
	"Delaware"	"10"	"Mar., 2021 (provisional)"	"2021/03"	44	Not Applicable	Not Applicable
	"Delaware"	"10"	"Apr., 2021 (provisional)"	"2021/04"	41	Not Applicable	Not Applicable
	"Delaware"	"10"	"May, 2021 (provisional)"	"2021/05"	43	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jun., 2021 (provisional)"	"2021/06"	35	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jul., 2021 (provisional)"	"2021/07"	33	Not Applicable	Not Applicable
	"Delaware"	"10"	"Aug., 2021 (provisional)"	"2021/08"	32	Not Applicable	Not Applicable
	"Delaware"	"10"	"Sep., 2021 (provisional)"	"2021/09"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Delaware"	"10"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"			312	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Jan., 2021 (provisional)"	"2021/01"	33	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Feb., 2021 (provisional)"	"2021/02"	24	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Mar., 2021 (provisional)"	"2021/03"	28	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Apr., 2021 (provisional)"	"2021/04"	22	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"May, 2021 (provisional)"	"2021/05"	39	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Jun., 2021 (provisional)"	"2021/06"	30	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Jul., 2021 (provisional)"	"2021/07"	28	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Aug., 2021 (provisional)"	"2021/08"	31	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Sep., 2021 (provisional)"	"2021/09"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"			243	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2021 (provisional)"	"2021/01"	499	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2021 (provisional)"	"2021/02"	432	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 2021 (provisional)"	"2021/03"	497	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 2021 (provisional)"	"2021/04"	594	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 2021 (provisional)"	"2021/05"	500	Not Applicable	Not Applicable
	"Florida"	"12"	"Jun., 2021 (provisional)"	"2021/06"	558	Not Applicable	Not Applicable
	"Florida"	"12"	"Jul., 2021 (provisional)"	"2021/07"	486	Not Applicable	Not Applicable
	"Florida"	"12"	"Aug., 2021 (provisional)"	"2021/08"	477	Not Applicable	Not Applicable
	"Florida"	"12"	"Sep., 2021 (provisional)"	"2021/09"	66	Not Applicable	Not Applicable
	"Florida"	"12"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"			4109	Not Applicable	Not Applicable
	"Georgia"	"13"	"Jan., 2021 (provisional)"	"2021/01"	128	Not Applicable	Not Applicable
	"Georgia"	"13"	"Feb., 2021 (provisional)"	"2021/02"	153	Not Applicable	Not Applicable
	"Georgia"	"13"	"Mar., 2021 (provisional)"	"2021/03"	162	Not Applicable	Not Applicable
	"Georgia"	"13"	"Apr., 2021 (provisional)"	"2021/04"	155	Not Applicable	Not Applicable
	"Georgia"	"13"	"May, 2021 (provisional)"	"2021/05"	180	Not Applicable	Not Applicable
	"Georgia"	"13"	"Jun., 2021 (provisional)"	"2021/06"	143	Not Applicable	Not Applicable
	"Georgia"	"13"	"Jul., 2021 (provisional)"	"2021/07"	125	Not Applicable	Not Applicable
	"Georgia"	"13"	"Aug., 2021 (provisional)"	"2021/08"	133	Not Applicable	Not Applicable
	"Georgia"	"13"	"Sep., 2021 (provisional)"	"2021/09"	18	Not Applicable	Not Applicable
	"Georgia"	"13"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Georgia"	"13"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Georgia"	"13"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Georgia"	"13"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Georgia"	"13"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"			1197	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2021 (provisional)"	"2021/01"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2021 (provisional)"	"2021/02"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2021 (provisional)"	"2021/03"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2021 (provisional)"	"2021/04"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2021 (provisional)"	"2021/05"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2021 (provisional)"	"2021/06"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2021 (provisional)"	"2021/07"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2021 (provisional)"	"2021/08"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2021 (provisional)"	"2021/09"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"			53	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2021 (provisional)"	"2021/01"	15	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2021 (provisional)"	"2021/02"	12	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2021 (provisional)"	"2021/03"	12	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2021 (provisional)"	"2021/04"	24	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2021 (provisional)"	"2021/05"	25	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2021 (provisional)"	"2021/06"	26	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2021 (provisional)"	"2021/07"	20	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2021 (provisional)"	"2021/08"	14	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2021 (provisional)"	"2021/09"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"			153	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2021 (provisional)"	"2021/01"	203	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2021 (provisional)"	"2021/02"	185	Not Applicable	Not Applicable
	"Illinois"	"17"	"Mar., 2021 (provisional)"	"2021/03"	269	Not Applicable	Not Applicable
	"Illinois"	"17"	"Apr., 2021 (provisional)"	"2021/04"	282	Not Applicable	Not Applicable
	"Illinois"	"17"	"May, 2021 (provisional)"	"2021/05"	258	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jun., 2021 (provisional)"	"2021/06"	258	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jul., 2021 (provisional)"	"2021/07"	291	Not Applicable	Not Applicable
	"Illinois"	"17"	"Aug., 2021 (provisional)"	"2021/08"	248	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sep., 2021 (provisional)"	"2021/09"	32	Not Applicable	Not Applicable
	"Illinois"	"17"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Illinois"	"17"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Illinois"	"17"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"			2026	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2021 (provisional)"	"2021/01"	179	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2021 (provisional)"	"2021/02"	152	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2021 (provisional)"	"2021/03"	205	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2021 (provisional)"	"2021/04"	205	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2021 (provisional)"	"2021/05"	194	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2021 (provisional)"	"2021/06"	172	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2021 (provisional)"	"2021/07"	186	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2021 (provisional)"	"2021/08"	199	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2021 (provisional)"	"2021/09"	24	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"			1516	Not Applicable	Not Applicable
	"Iowa"	"19"	"Jan., 2021 (provisional)"	"2021/01"	17	Not Applicable	Not Applicable
	"Iowa"	"19"	"Feb., 2021 (provisional)"	"2021/02"	14	Not Applicable	Not Applicable
	"Iowa"	"19"	"Mar., 2021 (provisional)"	"2021/03"	23	Not Applicable	Not Applicable
	"Iowa"	"19"	"Apr., 2021 (provisional)"	"2021/04"	23	Not Applicable	Not Applicable
	"Iowa"	"19"	"May, 2021 (provisional)"	"2021/05"	28	Not Applicable	Not Applicable
	"Iowa"	"19"	"Jun., 2021 (provisional)"	"2021/06"	22	Not Applicable	Not Applicable
	"Iowa"	"19"	"Jul., 2021 (provisional)"	"2021/07"	28	Not Applicable	Not Applicable
	"Iowa"	"19"	"Aug., 2021 (provisional)"	"2021/08"	25	Not Applicable	Not Applicable
	"Iowa"	"19"	"Sep., 2021 (provisional)"	"2021/09"	Suppressed	Not Applicable	Not Applicable
	"Iowa"	"19"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Iowa"	"19"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Iowa"	"19"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Iowa"	"19"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Iowa"	"19"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"			184	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2021 (provisional)"	"2021/01"	28	Not Applicable	Not Applicable
	"Kansas"	"20"	"Feb., 2021 (provisional)"	"2021/02"	31	Not Applicable	Not Applicable
	"Kansas"	"20"	"Mar., 2021 (provisional)"	"2021/03"	43	Not Applicable	Not Applicable
	"Kansas"	"20"	"Apr., 2021 (provisional)"	"2021/04"	38	Not Applicable	Not Applicable
	"Kansas"	"20"	"May, 2021 (provisional)"	"2021/05"	31	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jun., 2021 (provisional)"	"2021/06"	30	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jul., 2021 (provisional)"	"2021/07"	45	Not Applicable	Not Applicable
	"Kansas"	"20"	"Aug., 2021 (provisional)"	"2021/08"	55	Not Applicable	Not Applicable
	"Kansas"	"20"	"Sep., 2021 (provisional)"	"2021/09"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Kansas"	"20"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"			305	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jan., 2021 (provisional)"	"2021/01"	161	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Feb., 2021 (provisional)"	"2021/02"	137	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Mar., 2021 (provisional)"	"2021/03"	160	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Apr., 2021 (provisional)"	"2021/04"	183	Not Applicable	Not Applicable
	"Kentucky"	"21"	"May, 2021 (provisional)"	"2021/05"	168	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jun., 2021 (provisional)"	"2021/06"	154	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jul., 2021 (provisional)"	"2021/07"	159	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Aug., 2021 (provisional)"	"2021/08"	173	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Sep., 2021 (provisional)"	"2021/09"	32	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
