"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2017"	"2017/04"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2017"	"2017/05"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2017"	"2017/06"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2017"	"2017/07"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2017"	"2017/08"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2017"	"2017/09"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2017"	"2017/10"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2017"	"2017/11"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2017"	"2017/12"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020 "	"2020/01"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020 "	"2020/02"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020 "	"2020/03"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020 "	"2020/04"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020 "	"2020/05"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020 "	"2020/06"	68	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020 "	"2020/07"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020 "	"2020/08"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020 "	"2020/09"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020 "	"2020/10"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020 "	"2020/11"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020 "	"2020/12"	51	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2015"	"2015/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2015"	"2015/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2015"	"2015/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2015"	"2015/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2015"	"2015/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2015"	"2015/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2015"	"2015/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2015"	"2015/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2015"	"2015/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2015"	"2015/10"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2015"	"2015/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2015"	"2015/12"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2016"	"2016/01"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2016"	"2016/02"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2016"	"2016/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2016"	"2016/04"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2016"	"2016/05"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2016"	"2016/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2016"	"2016/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2016"	"2016/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2016"	"2016/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2016"	"2016/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2016"	"2016/11"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2016"	"2016/12"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2017"	"2017/01"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2017"	"2017/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2017"	"2017/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2017"	"2017/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2017"	"2017/05"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2017"	"2017/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2017"	"2017/07"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2017"	"2017/08"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2017"	"2017/09"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2017"	"2017/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2017"	"2017/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2017"	"2017/12"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2018"	"2018/01"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2018"	"2018/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2018"	"2018/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2018"	"2018/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2018"	"2018/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2018"	"2018/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2018"	"2018/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2018"	"2018/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2018"	"2018/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2018"	"2018/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2018"	"2018/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2019"	"2019/02"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2019"	"2019/03"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2019"	"2019/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2019"	"2019/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2019"	"2019/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2019"	"2019/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2019"	"2019/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2019"	"2019/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2019"	"2019/10"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2019"	"2019/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2019"	"2019/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2020 "	"2020/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2020 "	"2020/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2020 "	"2020/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2020 "	"2020/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2020 "	"2020/05"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2020 "	"2020/06"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2020 "	"2020/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2020 "	"2020/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2020 "	"2020/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2020 "	"2020/10"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2020 "	"2020/11"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2020 "	"2020/12"	16	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2015"	"2015/01"	34	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2015"	"2015/02"	37	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2015"	"2015/03"	59	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2015"	"2015/04"	63	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2015"	"2015/05"	65	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2015"	"2015/06"	62	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2015"	"2015/07"	57	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2015"	"2015/08"	83	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2015"	"2015/09"	53	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2015"	"2015/10"	62	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2015"	"2015/11"	70	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2015"	"2015/12"	56	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2016"	"2016/01"	62	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2016"	"2016/02"	61	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2016"	"2016/03"	76	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2016"	"2016/04"	76	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2016"	"2016/05"	58	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2016"	"2016/06"	74	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2016"	"2016/07"	89	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2016"	"2016/08"	71	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2016"	"2016/09"	52	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2016"	"2016/10"	69	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2016"	"2016/11"	66	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2016"	"2016/12"	51	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2017"	"2017/01"	78	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2017"	"2017/02"	65	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2017"	"2017/03"	92	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2017"	"2017/04"	73	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2017"	"2017/05"	93	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2017"	"2017/06"	94	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2017"	"2017/07"	85	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2017"	"2017/08"	79	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2017"	"2017/09"	66	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2017"	"2017/10"	87	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2017"	"2017/11"	81	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2017"	"2017/12"	77	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2018"	"2018/01"	95	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2018"	"2018/02"	74	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2018"	"2018/03"	103	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2018"	"2018/04"	88	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2018"	"2018/05"	87	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2018"	"2018/06"	108	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2018"	"2018/07"	99	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2018"	"2018/08"	120	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2018"	"2018/09"	79	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2018"	"2018/10"	94	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2018"	"2018/11"	109	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2018"	"2018/12"	103	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2019"	"2019/01"	100	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2019"	"2019/02"	82	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2019"	"2019/03"	101	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2019"	"2019/04"	97	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2019"	"2019/05"	109	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2019"	"2019/06"	83	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2019"	"2019/07"	128	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2019"	"2019/08"	124	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2019"	"2019/09"	127	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2019"	"2019/10"	128	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2019"	"2019/11"	115	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2019"	"2019/12"	130	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2020 "	"2020/01"	142	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2020 "	"2020/02"	113	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2020 "	"2020/03"	157	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2020 "	"2020/04"	150	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2020 "	"2020/05"	179	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2020 "	"2020/06"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2020 "	"2020/07"	218	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2020 "	"2020/08"	197	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2020 "	"2020/09"	141	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2020 "	"2020/10"	155	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2020 "	"2020/11"	163	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2020 "	"2020/12"	132	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2015"	"2015/01"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2015"	"2015/02"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2015"	"2015/03"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2015"	"2015/04"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2015"	"2015/05"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2015"	"2015/06"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2015"	"2015/07"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2015"	"2015/08"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2015"	"2015/09"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2015"	"2015/10"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2015"	"2015/11"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2015"	"2015/12"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2016"	"2016/01"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2016"	"2016/02"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2016"	"2016/03"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2016"	"2016/04"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2016"	"2016/05"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2016"	"2016/06"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2016"	"2016/07"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2016"	"2016/08"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2016"	"2016/09"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2016"	"2016/10"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2016"	"2016/11"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2016"	"2016/12"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2017"	"2017/01"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2017"	"2017/02"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2017"	"2017/03"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2017"	"2017/04"	19	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2017"	"2017/05"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2017"	"2017/06"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2017"	"2017/07"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2017"	"2017/08"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2017"	"2017/09"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2017"	"2017/10"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2017"	"2017/11"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2017"	"2017/12"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2018"	"2018/01"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2018"	"2018/02"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2018"	"2018/03"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2018"	"2018/04"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2018"	"2018/05"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2018"	"2018/06"	19	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2018"	"2018/07"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2018"	"2018/08"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2018"	"2018/09"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2018"	"2018/10"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2018"	"2018/11"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2018"	"2018/12"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2019"	"2019/01"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2019"	"2019/02"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2019"	"2019/03"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2019"	"2019/04"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2019"	"2019/05"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2019"	"2019/06"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2019"	"2019/07"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2019"	"2019/08"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2019"	"2019/09"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2019"	"2019/10"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2019"	"2019/11"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2019"	"2019/12"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2020 "	"2020/01"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2020 "	"2020/02"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2020 "	"2020/03"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2020 "	"2020/04"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2020 "	"2020/05"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2020 "	"2020/06"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2020 "	"2020/07"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2020 "	"2020/08"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2020 "	"2020/09"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2020 "	"2020/10"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2020 "	"2020/11"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2020 "	"2020/12"	24	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2015"	"2015/01"	205	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2015"	"2015/02"	199	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2015"	"2015/03"	195	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2015"	"2015/04"	179	Not Applicable	Not Applicable
	"California"	"06"	"May, 2015"	"2015/05"	191	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2015"	"2015/06"	167	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2015"	"2015/07"	172	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2015"	"2015/08"	180	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2015"	"2015/09"	181	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2015"	"2015/10"	172	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2015"	"2015/11"	149	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2015"	"2015/12"	138	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2016"	"2016/01"	188	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2016"	"2016/02"	168	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2016"	"2016/03"	207	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2016"	"2016/04"	204	Not Applicable	Not Applicable
